울산(광역)?시? 중구,울산광역시 중구,102,84
울산(광역)?시?,울산광역시,102,84
대덕구?,대덕구,68,100
유성구?,유성구,67,101
대전(광역)?시? 서구,대전광역시 서구,67,100
대전(광역)?시? 중구,대전광역시 중구,68,100
대전(광역)?시? 동구,대전광역시 동구,68,100
대전(광역)?시?,대전광역시,67,100
광산구?,광산구,57,74
광주(광역)?시? 북구,광주광역시 북구,59,75
광주(광역)?시? 남구,광주광역시 남구,59,73
광주(광역)?시? 서구,광주광역시 서구,59,74
광주(광역)?시? 동구,광주광역시 동구,60,74
광주(광역)?시?,광주광역시,58,74
옹진군?,옹진군,54,124
강화군?,강화군,51,130
인천(광역)?시? 서구,인천광역시 서구,55,126
계양구?,계양구,56,126
부평구?,부평구,55,125
남동구?,남동구,56,124
연수구?,연수구,55,123
미추홀구?,미추홀구,54,124
인천(광역)?시? 동구,인천광역시 동구,54,125
인천(광역)?시? 중구,인천광역시 중구,54,125
인천(광역)?시?,인천광역시,55,124
달성군?,달성군,86,88
달서구?,달서구,88,90
수성구?,수성구,89,90
대구(광역)?시? 북구,대구광역시 북구,89,91
대구(광역)?시? 남구,대구광역시 남구,89,90
대구(광역)?시? 서구,대구광역시 서구,88,90
대구(광역)?시? 동구,대구광역시 동구,90,91
대구(광역)?시? 중구,대구광역시 중구,89,90
대구(광역)?시?,대구광역시,89,90
기장군?,기장군,100,77
사상구?,사상구,96,75
수영구?,수영구,99,75
연제구?,연제구,98,76
부산(광역)?(시)? 강서구?,부산광역시 강서구,96,76
금정구?,금정구,98,77
사하구?,사하구,96,74
해운대구?,해운대구,99,75
부산(광역)?(시)? 북구,부산광역시 북구,96,76
부산(광역)?(시)? 남구,부산광역시 남구,98,75
동래구?,동래구,98,76
부산진구?,부산진구,97,75
영도구?,영도구,98,74
부산(광역)?(시)? 동구,부산광역시 동구,98,75
부산(광역)?(시)? 서구,부산광역시 서구,97,74
부산(광역)?(시)? 중구,부산광역시 중구,97,74
부산(광역)?(시)?,부산광역시,98,76
강동구?,강동구,62,126
송파구?,송파구,62,126
강남구?,강남구,61,126
서초구?,서초구,61,125
관악구?,관악구,59,125
동작구?,동작구,59,125
영등포구?,영등포구,58,126
금천구?,금천구,59,124
구로구?,구로구,58,125
서울(특별)?시? 강서구?,서울특별시 강서구,58,126
양천구?,양천구,58,126
마포구?,마포구,59,127
서대문구?,서대문구,59,127
은평구?,은평구,59,127
노원구?,노원구,61,129
도봉구?,도봉구,61,129
강북구?,강북구,61,128
성북구?,성북구,61,127
중랑구?,중랑구,62,128
동대문구?,동대문구,61,127
광진구?,광진구,62,126
용산구?,용산구,60,126
서울(특별)?시? 중구,서울특별시 중구,60,127
종로구?,종로구,60,127
서울(특별)?시?,서울특별시,60,127
